INDIKATOR_ID;INDIKATOR_NAME;INDICATOR_NAME_EN;EINHEIT_LANG (UNIT);QUELLE;BESCHREIBUNG;DESCRIPTION_EN
1086;217 Schulanlagen (Nettoaufwand);217 school facilities (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand der in die Einheitsgemeinde integrierten Schulen für den Betrieb und Unterhalt von Schulanlagen.Dieser Indikator enthält nur für reine Einheitsgemeinden oder Einheitsgemeinden mit Beteiligung an autonomen Schulgemeinden Werte. Für politische Gemeinden, welche die Volksschule vollständig an autonome Schulgemeinden bzw. -träger delegiert haben, liegen keine Angaben vor.  ;Net expenditure of schools integrated into the single municipality for the operation and maintenance of school facilities.This indicator only contains values ??for pure single municipalities or single municipalities with participation in autonomous school communities. No information is available for political communities that have completely delegated primary schools to autonomous school communities or school bodies.
1087;218 Schulverwaltung (Nettoaufwand);218 school administration (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand der in die Einheitsgemeinde integrierten Schulen für die Schulverwaltung.Dieser Indikator enthält nur für reine Einheitsgemeinden oder Einheitsgemeinden mit Beteiligung an autonomen Schulgemeinden Werte. Für politische Gemeinden, welche die Volksschule vollständig an autonome Schulgemeinden bzw. -träger delegiert haben, liegen keine Angaben vor.  ;Net expenditure of schools integrated in the single municipality for school administration. This indicator only contains values ??for purely single municipalities or for single municipalities with participation in autonomous school municipalities. No information is available for political communities that have completely delegated primary schools to autonomous school communities or school bodies.
1088;219 Übrige Schulbetriebskosten (Nettoaufwand);219 Other school operating costs (net costs);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand der in die Einheitsgemeinde integrierten Schulen für Informatik, schulpsychologischen Dienst, Schulreifeabklärungen, Eltern- und Erwachsenenbildung, Schülertransport, Mittagstisch und Frühförderung.Dieser Indikator enthält nur für reine Einheitsgemeinden oder Einheitsgemeinden mit Beteiligung an autonomen Schulgemeinden Werte. Für politische Gemeinden, welche die Volksschule vollständig an autonome Schulgemeinden bzw. -träger delegiert haben, liegen keine Angaben vor.  ;Net expenditure of the schools integrated into the unitary community for IT, school psychology service, school readiness assessments, parent and adult education, school transport, lunch and early intervention.This indicator only contains values ??for pure unitary congregations or unitary congregations with participation in autonomous school communities. No information is available for political communities that have completely delegated primary schools to autonomous school communities or school bodies.
1089;22 Sonderschulen (Nettoaufwand);22 special schools (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für heilpädagogische Schulen und private Sonderschulen. ;Net expenditure for special education schools and private special schools.
1090;25 Allgemeinbildende Schulen (Nettoaufwand);25 general education schools (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für allgemeinbildende Schulen, allgemeines Berufsvorbereitungsjahr, berufliche Vorkurse, Integrationskurs, Musikunterricht für Schulentlassene, Vorkurs für Gestaltung, Vorlehre und Vorlehre fremdsprachiger Jugendlicher. ;Net expenditure for general schools, general vocational preparation year, preliminary professional courses, integration course, music lessons for school leavers, preliminary course for design, pre-apprenticeship and pre-apprenticeship for foreign-language young people.
1091;26 Höhere Berufsbildung (Nettoaufwand);26 Higher vocational training (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für höhere Berufsbildung, Ingenieurschulen, technische Fachschulen und Wirtschaftsschulen. ;Net expense for higher vocational training, engineering schools, technical colleges and business schools.
1092;27 Hochschulen, Forschung (Nettoaufwand);27 universities, research (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Forschung, Hochschulen und Universitäten. ;Net expenditure for research, colleges and universities.
1093;29 Übrige Bildungsstätten (Nettoaufwand);29 Other educational institutions (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Elternschulen, Erwachsenenbildung, Volkshochschule und die Zentralstelle für berufliche Weiterbildung. ;Net expenses for parent schools, adult education, adult education centers and the central office for professional development.
1094;30 Kulturförderung (Nettoaufwand);30 cultural funding (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Ausstellungen, Bibliothek, Bilder, Bühne, Chöre, Chroniken, Dorfvereine, Fasnachtsgesellschaft, Galerie, Gemeindebibliothek, Gemeindegeschichte, Gemeindemuseum, Gemeindesaal, Gesangsverein, Historischer Verein, Konzerte, Kulturförderung, Kunst, Mehrzweckhalle, Museum, Musikverein, Orchesterverein, Tambourenverein, Theater und Trachtenverein. ;Net expenditure for exhibitions, library, pictures, stage, choirs, chronicles, village associations, carnival society, gallery, community library, community history, community museum, community hall, choral society, historical association, concerts, cultural promotion, art, multi-purpose hall, museum, music association, orchestra association, drum club, theater and traditional costume association.
1095;31 Denkmalpflege, Heimatschutz (Nettoaufwand);31 Preservation of historical monuments, heritage protection (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Altstadtpflege, Denkmalpflege, Erhaltung historischer Kulturgüter, Heimatschutz, Ortsbildinventar und Ortsbildpflege. ;Net expenditure for old town maintenance, monument preservation, preservation of historical cultural assets, homeland protection, site inventory and site maintenance.
1096;32 Medien (Nettoaufwand);32 media (net expense);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Fernsehen, Gemeinschaftsantenne, Presse und Radio. ;Net expenditure for television, community antenna, press and radio.
1097;33 Parkanlagen, Wanderwege (Nettoaufwand);33 parks, hiking trails (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Brunnen, Gartenbauamt, Grünzonen, Parkanlagen, Ruhebänke, Seeufer, Spielplätze, Stadtgärtnerei, Wanderwege und Wasserspiele ;Net expenditure for fountains, the horticultural office, green areas, parks, benches, lakeside, playgrounds, city gardening, hiking trails and water features
1098;34 Sport (Nettoaufwand);34 sport (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Finnenbahn, Fussballplatz, Hallenbad, Kunsteisbahn, Schwimmbad, Skilift, Sport, Sportplätze, Sportveranstaltungen, Sportvereine, Turnhalle und Vita-Parcours. ;Net expenditure for Finnish rink, soccer field, indoor swimming pool, artificial ice rink, swimming pool, ski lift, sports, sports fields, sporting events, sports clubs, gymnasium and vita parcours.
1099;37 Übrige Freizeitgestaltung (Nettoaufwand);37 Other leisure activities (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Camping, Familiengärten, Freizeitgestaltung, Freizeithaus, Freizeitwerkstätte, Jugendherberge, Jugendparlament, Jugendtreff, Jugendvereine, Jugendzentrum, Kino, Schrebergärten und Tierpark. ;Net expenditure for camping, family gardens, leisure activities, leisure center, leisure workshop, youth hostel, youth parliament, youth club, youth clubs, youth center, cinema, allotment gardens and zoo.
1100;41 Spitäler, Kranken- und Pflegeheime (Nettoaufwand);41 hospitals, hospitals and nursing homes (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für stationäre Pflegefinanzierung sowie stationäre Akut- und Übergangspflege. Das Konto 41 wird  ab 1.1.2011 für die Beiträge der Gemeinden an der stationäre Pflege gemäss dem Gesetz über die Pflegefinanzierung (sGS 331.2)  verwendet. Zuvor waren die Gemeinden nicht zur Pflegefinanzierung verpflichtet. ;Net expenses for inpatient care financing as well as inpatient acute and transitional care. From 1.1.2011 account 41 will be used for the contributions of the municipalities to inpatient care in accordance with the law on care financing (sGS 331.2). Previously, the municipalities were not obliged to finance care.
1101;42 Ambulante Pflegefinanzierung (Nettoaufwand);42 Outpatient care financing (net expense);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für ambulante Pflege (Spitex / Pflegefachpersonen) sowie ambulante Akut- und Übergangspflege. Das Konto 42 wird  ab 1.1.2011 für die Beiträge der Gemeinden an der ambulanten Pflege gemäss dem Gesetz über die Pflegefinanzierung (sGS 331.2)  verwendet. Zuvor waren die Gemeinden nicht zur Pflegefinanzierung verpflichtet. ;Net expenditure for outpatient care (Spitex / nursing professionals) as well as outpatient acute and transitional care. Account 42 will be used from 1.1.2011 for the municipalities' contributions to outpatient care in accordance with the Law on Care Financing (sGS 331.2). Previously, the municipalities were not obliged to finance care.
1102;45 Ambul. Krankenpflege, Geburtshilfe (Nettoaufwand);45 ambul. Nursing, obstetrics (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Geburtshilfe, Familienhilfe, Geburtshilfe, Gemeindekrankenpflege, Haushilfe, Hauspflege, Hebamme, Krankenpflegeverein, Mütter- und Väterberatung, Palliativnetz Ostschweiz (Sterbehilfe), Samariterverein und Spitex. ;Net expenditure for obstetrics, family help, obstetrics, community nursing, home help, home care, midwife, nursing association, mother and father counseling, palliative network Eastern Switzerland (euthanasia), Samaritan association and Spitex.
1103;47 Schulgesundheitsdienst (Nettoaufwand);47 School health service (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Lauskontrolle, Schirmbildaktionen, Schularzt und Schulzahnpflege. ;Net expenditure for lice control, screen campaigns, school doctor and school dental care.
1104;48 Lebensmittelkontrolle (Nettoaufwand);48 food control (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Lebensmittel- und Pilzkontrolle. ;Net expenditure for food and fungus control.
1105;49 Übriges Gesundheitswesen (Nettoaufwand);49 Other healthcare (net expenses);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Bergrettung, Defibrillator, Desinfektionen, Gesundheitsberatung und Vorsorge, Heilstätten für Alkoholkranke, Krankheitsbekämpfung, Lebensrettungsgesellschaft, Rega, Schutzimpfungen und Seerettungsdienst.  ;Net expenses for mountain rescue, defibrillator, disinfection, health advice and prevention, sanatoriums for alcoholics, disease control, lifesaving company, Rega, vaccinations and sea rescue service.
1106;50 Sozialversicherungen (Nettoaufwand);50 social insurances (net expense);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für AHV-Beiträge Nichterwerbstätiger, Ergänzungsleistungen zur AHV und IV, Krankenpflege-Grundversicherung, Krankenversicherungsprämien und Kostenbeiträge und Sozialversicherungen. ;Net expenditure for AHV contributions by non-employed persons, supplementary benefits to AHV and IV, basic health insurance, health insurance premiums and cost contributions and social insurance.
1107;53 Allgemeine Sozialhilfe (Nettoaufwand);53 General social assistance (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Altersausflug, Altersbetreuung, Altersturnen, Amtsvormundschaft, Arbeitsgemeinschaft für Ausländerfragen, Asylsuchende, Beratungsstelle für Alkoholprobleme, Beratungsstelle für Suchtprobleme, Blaues Kreuz, Drogenberatung, Eheberatung, Familienplanung, Flüchtlingshilfe, Frauenhaus, kontrollierte Drogenabgabe, Pro Senectute, Schuldenberatung, Sozialfürsorge, Suchtprävention, Verbilligungsaktionen, Vergünstigungen und Vormundschaft. ;Net expenses for old people's excursion, old age care, old age gymnastics, official guardianship, working group for foreigner issues, asylum seekers, advice center for alcohol problems, advice center for addiction problems, Blue Cross, drug advice, marriage advice, family planning, refugee aid, women's shelter, controlled drug delivery, Pro Senectute, debt advice, social welfare, addiction prevention , Perks and guardianship.
1108;54 Kinder und Jugendliche (Nettoaufwand);54 children and adolescents (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Inkassohilfe, Jugendschutz, Jugendarbeit / Jugendberatung, Kinder- und Jugendheime , Kinderhort, Kinderschutzzentrum, Pro Juventute, Schulsozialarbeit und Tagesmütter. ;Net expenditure for debt collection assistance, youth protection, youth work / youth counseling, children's and youth homes, crèche, child protection center, Pro Juventute, school social work and child minders.
1109;55 Invalidität (Nettoaufwand);55 Invalidity (net expense);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Behindertensport, Beschäftigungstherapie Behinderter, Entlastungsdienst für Familien mit Behinderten, geschützte Werkstätten, Invalidität, Pro Infirmis und Wohnheime für Behinderte. ;Net expenditure for disabled sports, occupational therapy for disabled people, relief service for families with disabled people, sheltered workshops, disability, Pro Infirmis and dormitories for disabled people.
1110;56 Sozialer Wohnungsbau (Nettoaufwand);56 Social housing (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Alterswohnungen, Förderung des sozialen Wohnungsbaus, Mietzinszuschüsse gemäss WEG und Verbesserung der Wohnverhältnisse im Berggebiet. ;Net expenditure for old people's apartments, promotion of social housing, rent subsidies in accordance with the WEG and improvement of living conditions in the mountain area.
1111;57 Altersheim, Pflegeheim (Nettoaufwand);57 Retirement home, nursing home (net expense);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Altersheime, Betagtenheime und Pflegeheime. ;Net expenses for old people's homes, old people's homes and nursing homes.
1112;58 Finanzielle Sozialhilfe (Nettoaufwand);58 Financial social assistance (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für finanzielle Sozialhilfe, Überbrückungsdarlehen an Private, Vorschüsse ALV-Entschädigungen und IV-Renten und nicht anrechenbare Ersatzleistungen im Krankenkassenwesen (Kostenbeteiligungen sowie Mahn- und Betreibungskosten). ;Net expenditure for financial social assistance, bridging loans to private individuals, advances ALV compensation and IV pensions and non-creditable replacement benefits in the health insurance system (cost sharing as well as dunning and collection costs).
1113;59 Humanitäre Hilfen, Patenschaften (Nettoaufwand);59 Humanitarian aid, sponsorships (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Auslandhilfe, Berggemeinden, Entwicklungshilfe, humanitäre Hilfen, Katastrophenhilfe, nichtversicherbare Elementarschäden und Patenschaften. ;Net expenditure for foreign aid, mountain communities, development aid, humanitarian aid, disaster relief, non-insurable natural disaster and sponsorships.
1114;61 Staatsstrassen (Nettoaufwand);61 state roads (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Fussgängerschutz an Staatsstrassen, Geh- und Radwege entlang den Staatstrassen, Lärmschutzmassnahmen und Lichtsignalanlagen bei Staatsstrassen. ;Net expenditure for pedestrian protection on state roads, sidewalks and cycle paths along state roads, noise protection measures and traffic lights on state roads.
1115;62 Gemeindestrassen (Nettoaufwand);62 municipal roads (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Brücken, Bussen für Übertretungen des Strassenverkehrsgesetzes, Dauerparkierung auf öffentlichem Grund, Durchleitungsentschädigungen (z.B. privatisierte Elektrizitätswerke), Gemeindestrassen, Gemeindewege, Hausnummerierung, Magazin für Strassendienst, öffentliche Beleuchtung, Parkhäuser, Parkplätze, Pauschalbeitrag Kanton, ruhender Verkehr und Werkhof. ;Net expenses for bridges, buses for violations of the Road Traffic Act, long-term parking on public property, transmission fees (e.g. privatized electricity plants), communal roads, communal roads, house numbering, road service magazine, public lighting, parking garages, parking spaces, cantonal flat-rate contribution, stationary traffic and works yard.
1116;65 Öffentlicher Verkehr (Nettoaufwand);65 Public transport (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Bahnhofgebäude, Bundesbahnen, Bushaltestellen, Park + Ride, Postautokurse, Privatbahnen, Regionalverkehr, Sesselbahnen, unpersönliches Generalabonnement (UGA), Veloeinstellräume und -unterstände bei Bahnhöfen und Verkehrsbetriebe ;Net expenses for station buildings, federal railways, bus stops, Park + Ride, Postbus courses, private railways, regional transport, chairlifts, impersonal general subscription (UGA), bicycle storage rooms and shelters at train stations and transport companies
1117;66 Schifffahrt, Hafenanlagen (Nettoaufwand);66 Shipping, port facilities (net expense);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Hafenanlagen, Schifffahrtsbetriebe und Schiffstege. ;Net expenses for port facilities, shipping companies and jetties.
1118;70 Wasserversorgung (Nettoaufwand);70 water supply (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für die Wasserversorgung ;Net expenditure for water supply
1119;71 Abwasserbeseitigung (Nettoaufwand);71 Wastewater disposal (net expense);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Abwasseranlagen, generelle Entwässerungsplanung (GEP), Gewässerschutz, Kanalisationen, Kläranlagen, Pumpwerke und Regenwasserbehandlung. ;Net expenditure for sewage systems, general drainage planning (GEP), water protection, sewer systems, sewage treatment plants, pumping stations and rainwater treatment.
1120;72 Abfallbeseitigung (Nettoaufwand);72 waste disposal (net expense);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Abfallbeseitigung, Ablagerungsplatz, Altglassammelstelle, Altmetallsammlung, Altpapiersammlung, Bauschuttdeponie, Container, Grünabfuhr, Kehrichtabfuhr, Kehrichtverbrennung, Kehrichtverwertung, Kompostierungsanlage und Multikomponentendeponie. ;Net expenditure for waste disposal, disposal site, waste glass collection point, waste metal collection, waste paper collection, building rubble landfill, container, green waste disposal, waste disposal, waste incineration, waste recycling, composting plant and multi-component landfill.
1121;73 Übriger Umweltschutz (Nettoaufwand);73 Other environmental protection (net expense);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Feuerungskontrolle, Hundeversäuberungsplätze, Lufthygiene, Medikamentenentsorgung, öffentliche Toiletten, Robidog, Sonder- und Giftabfälle, Tankkataster und Umweltschutzorganisationen. ;Net expenses for fire control, dog cleaning stations, air hygiene, medication disposal, public toilets, Robidog, hazardous and toxic waste, tank cadastre and environmental protection organizations.
1122;74 Friedhof, Bestattungen (Nettoaufwand);74 cemetery, burials (net expenses);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Aufbahrungshalle, Bestattungen, Friedhof, Friedhofgärtner und Kremationen. ;Net expense for the funeral hall, burial, cemetery, cemetery gardener and cremation.
1123;75 Gewässerverbauungen (Nettoaufwand);75 water construction works (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Bachverbauungen, Böschungssanierungen, Gewässer, Gewässerverbauungen und Kiessammler. ;Net expenditure for brook barriers, embankment rehabilitation, water bodies, water barriers and gravel collectors.
1124;76 Lawinenverbauungen (Nettoaufwand);76 avalanche barriers (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Lawinenverbauungen. ;Net expenditure for avalanche barriers.
1125;77 Raumplanung (Nettoaufwand);77 spatial planning (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Baugrundkataster, Entwicklungskonzepte, Gestaltungspläne, Grundwasserschutzzone, Landumlegung (Planung), materielle Enteignung, Nutzungsbeschränkungen, Ortsplanung, Raumplanung, Regionalplanung, Richtplanung, Schutzverordnung, Überbauungspläne, Verkehrsplanung und Zonenpläne. ;Net expenditure for building land cadastre, development concepts, design plans, groundwater protection zone, land reallocation (planning), material expropriation, usage restrictions, local planning, spatial planning, regional planning, structure planning, protection ordinance, building plans, traffic planning and zone plans.
1126;78 Naturschutz (Nettoaufwand);78 nature conservation (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Abgeltung ökologischer Leistungen (GAöL), Biotope, Flächen zum ökologischen Ausgleich, Natur- und Landschaftsschutz, Naturschutzgebiete, Naturschutzorganisationen, Pflanzenschutzaufsicht und Schutzmassnahmen. ;Net expenditure for compensation for ecological services (GAöL), biotopes, areas for ecological compensation, nature and landscape protection, nature reserves, nature protection organizations, plant protection supervision and protective measures.
1127;80 Landwirtschaft (Nettoaufwand);80 agriculture (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Ackerbaustelle, Alpsanierung, Betriebsverbesserungen, Betriebszählung, Bienenzucht, Bodenverbesserungen, Düngerberatung, Feuerbrandbekämpfung, Güterzusammenlegung, Hagelabwehr, Kadaverbeseitigung, landwirtschaftlichen Betriebshelferdienst, Meliorationen, Notschlachtlokal, Obstbaumzählung, Rebbau, Schädlingsbekämpfung, Schafräudebad, Schafzucht, Stallsanierungen, Stierenschau, Tierhaltung, Tierkörpersammelstelle, Tierseuchenbekämpfung, Tierseuchenkasse, Viehmärkte, Viehschau, Viehzählung, Weinbau, Ziegenzucht und Zuchtstierhaltung. ;Net expenses for arable farming, alpine remediation, business improvements, business census, beekeeping, soil improvement, fertilizer advice, fire-blighting, pooling of goods, hail prevention, carcass removal, agricultural operational helper service, melioration, emergency slaughterhouse, fruit tree counting, vine growing, pest control, pest control, shark rearing, livestock rearing, pest control , Animal disease fund, cattle markets, cattle show, cattle counting, viticulture, goat breeding and breeding animal husbandry.
1128;81 Forstwirtschaft (Nettoaufwand);81 Forestry (net expense);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Beförsterungskostenanteil, Forstwirtschaft, Gemeindewald, Revierbeförsterung, Steuern auf ausserkantonalen Waldungen, Waldbewirtschaftungswege und Waldstrassen. ;Net expenditure for the proportion of forestry costs, forestry, community forest, area forestation, taxes on forests outside the canton, forest management paths and forest roads.
1129;82 Jagd, Fischerei, Tierschutz (Nettoaufwand);82 Hunting, fishing, animal welfare (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Fischerei, Jagd, Jagdpachtzinsen, Tierschutz, Tierschutzvereine und Wildschutzgebiete. ;Net expenditure for fishing, hunting, hunting leases, animal welfare, animal welfare associations and wildlife sanctuaries.
1130;83 Tourismus, Kommunale Werbung (Nettoaufwand);83 Tourism, municipal advertising (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Aussenbeleuchtungen, Begrüssungsschrift, Dorfschmuck, kommunale Werbung, Kurverein, Orientierungstafeln, Ortsprospekte, Stadtplan, Tourismus und Verkehrsverein. ;Net expenditure for exterior lighting, welcome letter, village decorations, communal advertising, spa association, orientation boards, local brochures, city map, tourism and tourist association.
1131;84 Industrie, Gewerbe, Handel (Nettoaufwand);84 Industry, commerce, trade (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Arbeitsgemeinschaft, Ausstellungen, Bahngleisanschluss für Industrie, Gastgemeinde bei Ausstellungen und Messen, Gewerbeförderung, Handelsförderung, Industrieansiedlung, Jahrmarkt, Kilbi, Markt, Markthalle, Messen, regionale Wirtschaftsförderung und Weihnachtsbeleuchtung. ;Net expenditure for working group, exhibitions, railroad siding for industry, host community at exhibitions and trade fairs, business promotion, trade promotion, industrial settlement, fair, Kilbi, market, market hall, trade fairs, regional economic development and Christmas lighting.
1132;86 Energie (Nettoaufwand);86 energy (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Elektrizitätsversorgung, Energieberatungsstelle, Energielabel, Fernwärmeversorgung, Förderbeiträge und Gasversorgung. ;Net expenditure for electricity supply, energy advice center, energy label, district heating supply, subsidies and gas supply.
1133;87 Gewerbliche Betriebe (Nettoaufwand);87 commercial operations (net expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Gewerbebetriebe. ;Net expenses for commercial operations.
1134;90 Gemeindesteuern (Nettoaufwand);90 municipal taxes (net expense);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Einkommenssteuern, Gemeindesteuern, Grundsteuern, Handänderungssteuern, Hundetaxen, Nach- und Strafsteuern und Vermögenssteuern. Ein negativer Wert bedeutet, dass die Einnahmen (Ertrag) grösser sind als die Ausgaben (Aufwand).  ;Net expenses for income taxes, municipal taxes, property taxes, transfer taxes, dog taxes, post-tax and penalty taxes and property taxes. A negative value means that the income (income) is greater than the expenditure (expense).
1135;91 Finanzausgleich (Nettoaufwand);91 Financial equalization (net expense);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für den Finanzausgleich. Ein negativer Wert bedeutet, dass die Einnahmen (Ertrag) grösser sind als die Ausgaben (Aufwand). Aufwand ergibt sich aus der Rückzahlung im Vorjahr zuviel bezogener Beiträge. Bis und mit 2007 galt das alte Finanzausgleichssystem (aus direktem Finanzausgleich und indirektem Finanzausgleich für Bildung und Strassenlasten). Ab 2008 gilt der neue Finanzausgleich (Ressourcenausgleich, Sonderlastenausgleich für Weite und Schule, Soziodemografischer Sonderlastenausgleich (seit 2014), Partieller Steuerfussausgleich, Individueller Sonderlastenausgleich sowie Übergangsausgleich). ;Net expense for financial equalization. A negative value means that the income (income) is greater than the expenditure (expense). Expenses result from the repayment of excessive contributions in the previous year. Up to and including 2007, the old financial equalization system (consisting of direct financial equalization and indirect financial equalization for education and road loads) applied. The new financial equalization will apply from 2008 (resource equalization, special burden compensation for distance and school, socio-demographic special burden compensation (since 2014), partial tax rate compensation, individual special burden compensation as well as transitional compensation).
1136;93 Einnahmenanteile (Nettoaufwand);93 revenue shares (net expenses);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Anteile an Staatseinnahmen, Grundstückgewinnsteuern, Quellensteuern und Wasserzinse der Wasserkraftwerke. Ein negativer Wert bedeutet, dass die Einnahmen (Ertrag) grösser sind als die Ausgaben (Aufwand).  ;Net expense for shares in government revenue, property gains taxes, withholding taxes and water interest of the hydropower plants. A negative value means that the income (income) is greater than the expenditure (expense).
1137;94 Liegenschaften Finanzvermögen (Nettoaufwand);94 real estate financial assets (net expenses);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Grundstücke, Liegenschaften, Mietzinseinnahmen und Pachtzinseinnahmen. Ein negativer Wert bedeutet, dass die Einnahmen (Ertrag) grösser sind als die Ausgaben (Aufwand).  ;Net expenses for land, real estate, rental income and rental income. A negative value means that the income (income) is greater than the expenditure (expense).
1138;95 Zinsen (Nettoaufwand);95 interest (net expense);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Aktivzinsen, Ausgleichszinsen, Beiträge an Emissionszentrale, Dividenden (Finanz- und Verwaltungsvermögen), Erträge von Darlehen und Beteiligungen des Verwaltungsvermögens, Kursgewinne und -verluste aus Vermögensanlagen, Passivzinsen, Vermittlungskommissionen, Verzugszinsen und Zinsvergünstigung aus IHG-Krediten. Ein negativer Wert bedeutet, dass die Einnahmen (Ertrag) grösser sind als die Ausgaben (Aufwand).  ;Net expenses for active interest, compensatory interest, contributions to issuing headquarters, dividends (financial and administrative assets), income from loans and investments in administrative assets, exchange rate gains and losses from investments, liability interest, brokerage commissions, interest on arrears and interest subsidies from IHG loans. A negative value means that the income (income) is greater than the expenditure (expense).
1139;96 Erträge ohne Zweckbindung (Nettoaufwand);96 income without earmarking (net expense);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Buchgewinne, Aktienverkäufe (z.B. privatisierte Elektrizitätswerke), Elektrizitätswerke, Entschuldungsbeiträge gem. Gemeindevereinigungsgesetz, Gemeindebanken, Gemeindebetriebe, Konzessionen, Plakatanschlagstellen, Projektbeiträge gem. Gemeindevereinigungsgesetz, Wasserversorgungen und Zuwendungen ohne Zweckbindung. Ein negativer Wert bedeutet, dass die Einnahmen (Ertrag) grösser sind als die Ausgaben (Aufwand).  ;Net expenses for book profits, share sales (e.g. privatized power plants), power plants, debt relief contributions in accordance with the Association of Municipalities Act, community banks, community operations, concessions, billboards, project contributions in accordance with the Association of Municipalities Act, water supplies and non-earmarked grants. A negative value means that the income (income) is greater than the expenditure (expense).
1140;97 Nicht aufteilbare Posten (Nettoaufwand);97 Non-allocable items (net expense);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für allgemeine und nicht aufteilbare Posten (Leistungen im öffentlichen Interesse). Ein negativer Wert bedeutet, dass die Einnahmen (Ertrag) grösser sind als die Ausgaben (Aufwand).  ;Net expense for general and non-apportionable items (public interest services). A negative value means that the income (income) is greater than the expenditure (expense).
